video_id,title,channel_name,channel_id,source_query,source_group,dataset_sources,channel_handle,published_time,view_count_text,description_snippet,video_url,query_hits,keywords,description,view_count,publish_date,upload_date,category,owner_handle
-5puKGEqcUc,INSIVUMEH pronostica incremento de lluvias para el fin de semana en Guatemala,T13 Noticias Guatemala,UCq0Cm-3SKthEySQc2JZBi1A,guatemala lluvias,topic,youtube_guatemala.csv | youtube_guatemala_lab.csv | youtube_guatemala_plus.csv,/@T13NoticiasGuatemala,hace 2 días,"2,390 vistas",El Departamento de Pronóstico de INSIVUMEH prevé un incremento en las lluvias durante este fin de semana a pesar de la ...,https://www.youtube.com/watch?v=-5puKGEqcUc,"[""guatemala lluvias""]","[""Canícula prolongada"", ""Chapin tv"", ""Fenómeno del Niño"", ""Guatemala"", ""Lluvias en Guatemala"", ""Onda tropical 32"", ""Pronóstico del clima"", ""T13 Noticias"", ""actualidad"", ""canal 3"", ""información"", ""noticias"", ""noticias guatemala"", ""noticiero"", ""T13""]","El Departamento de Pronóstico de INSIVUMEH prevé un incremento en las lluvias durante este fin de semana a pesar de la influencia del fenómeno del Niño y una canícula prolongada. La onda número 32 estaría promoviendo nublados y lluvias en todo el país, principalmente hacia el norte y sur. 

En la ciudad capital se esperan nublados y algunas lloviznas dispersas, mientras que los mayores acumulados se presentarán en el área del Caribe, especialmente Izabal, y a lo largo de la Boca Costa. Estas lluvias serán más notables en horas de la tarde y noche. 

Para principios de la próxima semana, los expertos anticipan que las lluvias serán más intensas y finalizará gradualmente el periodo de la canícula. Las autoridades recomiendan mantener precauciones debido a posibles inundaciones, crecidas de ríos, lahares en la cadena volcánica, deslizamientos de tierra y daños en la red vial.",2357,2026-08-28T22:00:20-07:00,2026-08-28T22:00:20-07:00,News & Politics,/@T13NoticiasGuatemala
-E7OPOLjMug,BERNARDO ARÉVALO CALIFICA CAMBIO EN EL MP COMO EL FIN DE UNA ETAPA DE DETERIORO INSTITUCIONAL,IDocumenta,UCgItjn_ZWFWcv1MlpKIkqgQ,@GobiernodelaRepublicadeGuatema,topic,youtube_target_channels.csv,/@iDocumenta,hace 3 meses,4 vistas,"El presidente de Guatemala, Bernardo Arévalo, calificó el cambio de fiscal general y jefe del Ministerio Público como “el cierre de ...",https://www.youtube.com/watch?v=-E7OPOLjMug,"[""@GobiernodelaRepublicadeGuatema""]",[],"El presidente de Guatemala, Bernardo Arévalo, calificó el cambio de fiscal general y jefe del Ministerio Público como “el cierre de una etapa marcada por el deterioro institucional”, durante recientes declaraciones relacionadas con la situación del sistema de justicia en el país.
@GobiernodelaRepublicadeGuatema 
#noticias #nacionales #politica #justicia #like #comenta #comparte #siguenos",4,2026-05-13T16:00:03-07:00,2026-05-13T16:00:03-07:00,People & Blogs,/@iDocumenta
-KDglrIzRKo,¡HISTÓRICO! Mexico recupera petróleo robado por Guatemala... 🔔,México Poder,UC-DpoeBbCMOMOH1-j71KPqA,guatemala noticias,topic,youtube_guatemala.csv | youtube_guatemala_lab.csv | youtube_guatemala_plus.csv,/@M%C3%A9xicoPoder,hace 1 día,"29,736 vistas",México #PetróleoMexicano #SoberaníaEnergética #Pemex #NoticiasMéxico #FronteraSur #Huachicol #Guatemala #ÚltimaHora ...,https://www.youtube.com/watch?v=-KDglrIzRKo,"[""guatemala noticias""]","[""Mexico recupera petroleo"", ""petroleo robado Guatemala"", ""huachicol frontera sur"", ""Pemex noticias hoy"", ""Mexico vs Guatemala petroleo"", ""soberania energetica Mexico"", ""recuperacion de hidrocarburos"", ""Guardia Nacional frontera sur"", ""noticias de hoy Mexico"", ""petroleo mexicano"", ""ultimas noticias Mexico"", ""soberania Mexico"", ""seguridad frontera sur"", ""decomiso de petroleo"", ""combate al huachico""]","#México #PetróleoMexicano #SoberaníaEnergética #Pemex #NoticiasMéxico #FronteraSur #Huachicol #Guatemala #ÚltimaHora

En este video te contamos todos los detalles sobre la histórica operación de seguridad y soberanía energética implementada en la frontera sur. El Gobierno de México logra asegurar miles de barriles de hidrocarburo extraídos de manera ilegal y recupera recursos vitales para la nación.

¿Qué implicaciones diplomáticas y económicas tendrá esta firme postura en la región? Analizamos las acciones de Pemex, la Guardia Nacional y las fuerzas de seguridad para defender el patrimonio de los mexicanos.

📌 En este video descubrirás:
• Los detalles del operativo de recuperación de petróleo en la frontera sur.
• La respuesta de Pemex y las autoridades mexicanas ante el tráfico ilícito.
• El impacto en la relación bilateral entre México y Guatemala.
• Medidas para reforzar la soberanía energética y combatir el huachicol.

🔔 ¡SUSCRÍBETE Y ACTIVA LA CAMPANILLA!
No te pierdas ningún reporte sobre la política, economía y soberanía de México. Déjanos tu opinión en los comentarios: ¿Qué opinas de estas acciones de seguridad en la frontera?",29736,2026-08-29T17:00:38-07:00,2026-08-29T17:00:38-07:00,People & Blogs,/@M%C3%A9xicoPoder
-O4Pa7qS9WQ,"Viaje completo Ciudad de Guatemala al IRTRA de Retalhuleu, menos tráfico, Diesel a Q42.59",Guate Maya Trip,UCSQM9AVr3rr7_GF8RH5KFGw,guatemala trafico,topic,youtube_guatemala_lab.csv,/@GuateMayaTripGT,hace 5 meses,383 vistas,,https://www.youtube.com/watch?v=-O4Pa7qS9WQ,"[""guatemala trafico""]",[],,383,2026-03-27T22:00:00-07:00,2026-03-27T22:00:00-07:00,Nonprofits & Activism,/@GuateMayaTripGT
06mFNPU0aB8,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,Noti7,UCVpSRoZgngfSL03Nlbjtq9A,guatemala noticias,topic,youtube_guatemala.csv | youtube_guatemala_plus.csv,/@Noti7Guatemala,hace 2 semanas,"6,692 vistas",La rápida acción policial frustró el plan de los sujetos que usaron minifaldas para huir.,https://www.youtube.com/watch?v=06mFNPU0aB8,"[""guatemala noticias""]","[""Actualidad"", ""Asaltantes disfrazados"", ""Capturados Escuintla"", ""Guatemala"", ""Noti7"", ""Noticias"", ""PNC"", ""Televisiete"", ""información"", ""noticias"", ""capturas""]",La rápida acción policial frustró el plan de los sujetos que usaron minifaldas para huir.,6692,2026-08-13T22:00:12-07:00,2026-08-13T22:00:12-07:00,News & Politics,/@Noti7Guatemala
0LTLUY7LBlA,"Qué debes saber ANTES de viajar a GUATEMALA | Dónde cambiar DINERO, adquirir INTERNET y TRANSPORTE",De viaje con Migue,UCfMjuFkpFo_QAWtvQqR2EHQ,guatemala transporte,topic,youtube_guatemala.csv | youtube_guatemala_plus.csv,/@deviajeconmigue,hace 1 año,"6,098 vistas",(00:00) Intro (01:15) Vuelos y requerimientos (01:42) Declaración jurada regional del viajero (02:46) Migración proceso (03:52) ...,https://www.youtube.com/watch?v=0LTLUY7LBlA,"[""guatemala transporte""]","[""viajes"", ""tips de viajes"", ""travel"", ""mundo chevez"", ""consejos de viajes"", ""guatemala"", ""visitamos guatemala"", ""qué saber antes de viajar a guatemala"", ""dónde cambiar dinero en guatemala"", ""cómo conseguir internet en guatemala"", ""cómo moverme en guatemala"", ""transporte en guatemala"", ""ciudad de guatemala"", ""antigua guatemala""]","(00:00) Intro
(01:15) Vuelos y requerimientos
(01:42) Declaración jurada regional del viajero
(02:46) Migración proceso
(03:52) Opciones de transporte del aeropuerto
(07:41) Dónde cambiar dinero a Quetzales
(10:22) Dónde conseguir Internet
(11:30) Transporte de Ciudad de Guatemala a Petén
(15:16) Despedida y redes sociales

Este es un video informativo que te ayudará a planear de mejor manera tu visita al hermosos país de #guatemala 

Aquí te comparto #tips  y #recomendaciones desde vuelos, #transporte y costos para moverte por el país, dónde cambiar dinero y obtener la mejor taza de cambio y dónde conseguir #internet  para estar conectado durante todo tu viaje.

En este enlace puedes llenar la declaración jurada regional del viajero
https://portal.sat.gob.gt/portal/declaracion-jurada-regional-de-viajero/

SUSCRÍBETE A MI CANAL:
https://www.youtube.com/channel/UCfMjuFkpFo_QAWtvQqR2EHQ?view_as=subscriber
.
REDES SOCIALES:
Instagram: https://www.instagram.com/deviajeconmigue/
Twitter: https://twitter.com/deviajeconmigue
Facebook: https://www.facebook.com/deviajeconmigue/
TikTok: https://www.tiktok.com/@deviajeconmigue
.
CONTACTO:
mundo.chevez@gmail.com",6099,2025-04-15T18:00:27-07:00,2025-04-15T18:00:27-07:00,Travel & Events,/@deviajeconmigue
0a4_g1R1-aA,Acciones relevantes en el #Resumen24Horas,PNCdeGuatemala,UCHsYnV67K3J0yJ4QeciVCww,Policia Nacional Civil Guatemala,official_gov,youtube_guatemala_lab.csv,/@PNCdeGuatemala,hace 5 días,"15,436 vistas",... https://www.facebook.com/PoliciaNacionalCivildeGuatemala https://x.com/PNCdeGuatemala https://pnc.gob.gt/ ¡Suscríbete ...,https://www.youtube.com/watch?v=0a4_g1R1-aA,"[""Policia Nacional Civil Guatemala""]",[],"📢 ¡Sígueme en nuestras redes! 🌐
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
https://www.instagram.com/pncdeguatemala
https://www.youtube.com/@PNCdeGuatemala
https://www.tiktok.com/@pncdeguatemala
https://www.facebook.com/PoliciaNacionalCivildeGuatemala
https://x.com/PNCdeGuatemala
https://pnc.gob.gt/

🌟 ¡Suscríbete para más contenido!

#PNC #PNCGuatemala #Policia #Guatemala #SeguridadConTransparencia
 #ProtegerYServir",15455,2026-08-26T05:26:21-07:00,2026-08-26T05:26:21-07:00,Science & Technology,/@PNCdeGuatemala
0b2vfzXdCqs,Cadena Nacional del presidente Bernardo Arévalo,Gobierno de la República de Guatemala,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de Guatemala,topic,target_small_listing.csv | youtube_guatemala_plus.csv | youtube_lab_targets.csv | youtube_lab_targets_small.csv | youtube_target_channels.csv,/@GobiernodelaRepublicadeGuatema,Transmitido hace 6 meses,"2,725 vistas",Cadena Nacional del presidente Bernardo Arévalo.,https://www.youtube.com/watch?v=0b2vfzXdCqs,"[""Gobierno de Guatemala"", ""Gobierno de la República de Guatemala""]",[],Cadena Nacional del presidente Bernardo Arévalo,2725,2026-02-15T18:11:23-08:00,2026-02-15T18:11:23-08:00,Entertainment,/@GobiernodelaRepublicadeGuatema
0eiVPMexNOo,CONRED se pronuncia tras sismos en el territorio nacional,TN23 Guatemala,UCt5Dw7ePnn0AqPqRF8Xpjkw,Conred Guatemala,official_gov,youtube_guatemala.csv | youtube_guatemala_plus.csv,/@TN23TodoNoticias,hace 1 año,"1,875 vistas",CONRED se pronuncia tras sismos en el territorio nacional.,https://www.youtube.com/watch?v=0eiVPMexNOo,"[""Conred Guatemala""]","[""TN23"", ""información"", ""noticias"", ""Guatemala"", ""CONRED"", ""sismos"", ""temblores""]",CONRED se pronuncia tras sismos en el territorio nacional,1875,2025-07-29T16:30:00-07:00,2025-07-29T16:30:00-07:00,News & Politics,/@TN23TodoNoticias
0iQD8zHxZIg,SE FILTRO un AUDIO de PANDILLEROS en Guatemala | DISPUTA POLITICA  Guatemala en medio de EMERGENCIA,Tras la Verdad SV,UCoVACVT8WitFTc_Ok5yhYlg,guatemala politica,topic,youtube_guatemala.csv | youtube_guatemala_lab.csv | youtube_guatemala_plus.csv,/@TraslaVerdadSV,hace 7 meses,"36,701 vistas","Un pandillero tiene enfrentado a los políticos en Guatemala, al mismo sujeto quien seria ranflero de la 18 le han encontrado ...",https://www.youtube.com/watch?v=0iQD8zHxZIg,"[""guatemala politica""]","[""El Salvador"", ""Nayib Bukele"", ""Noticias"", ""Noticias de El Salvador"", ""Noticias de Nayib Bukele""]","Un pandillero tiene enfrentado a los políticos en Guatemala, al mismo sujeto quien seria ranflero de la 18 le han encontrado audios presuntamente incriminatorio ante hecho de ataques a policías, mientras a Consuelo Porras han solicitado ante el sistema judicial un juicio político,  


#noticias #noticiasenvivo #noticiasenespañol #bukele #bukelevspandillas #nayibukele #elsalvador #guatemala  #guatemala502 #guatemalatravel #guatemalacity 

Apóyame compartiendo este contenido con tus amigos, familiares y grupos en las redes sociales, si somos más, somos más fuertes!! Gracias por su confianza cipotes.
Suscríbete a mi segundo canal de Youtube: https://goo.gl/jcUZTR

Sígueme en mis redes sociales 
Tik tok: https://www.tiktok.com/@caoz_sv
Twitter: https://twitter.com/Caoz_ES
Facebook: https://www.facebook.com/CaozES/

Ayuda a seguir creando contenido Donaciones: https://goo.gl/DxivjZ",36701,2026-01-21T09:00:02-08:00,2026-01-21T09:00:02-08:00,News & Politics,/@TraslaVerdadSV
